
4K音乐🎶MV,#genre#
爱江山更爱美人金典[1280*720],https://vd4.bdstatic.com/mda-mm2a18n5jdh6d8bs/sc/cae_h264/1638516147610932793/mda-mm2a18n5jdh6d8bs.mp4
​《哑巴新娘...》[1920*1080],https://vdse.bdstatic.com//1a3fdd4def6feeef6a49f4c2bfd9fec2.mp4
女人泪经典版,https://vd3.bdstatic.com/mda-nd045azyh4rv782s/480p/h264_delogo/1648782992794790719/mda-nd045azyh4rv782s.mp4
爱不得忘不舍,https://vd3.bdstatic.com/mda-mh8j8egnj8idbvd8/1080p/cae_h264/1629367979662473678/mda-mh8j8egnj8idbvd8.mp4
爱你到最后一刻,https://vd3.bdstatic.com/mda-mhr9c7q9xzgy1812/1080p/cae_h264/1630062648077583523/mda-mhr9c7q9xzgy1812.mp4
我们不再是从前,https://vd2.bdstatic.com/mda-mhne550wq5m66zvj/1080p/cae_h264/1629803514331462220/mda-mhne550wq5m66zvj.mp4
伤我你疼吗,https://kvideo01.youju.sohu.com/e16a2373-2a1e-459e-952f-3e310da040b82_0_0.mp4
快乐崇拜,https://vd2.bdstatic.com/mda-jgwjxug1whys3ina/sc/mda-jgwjxug1whys3ina.mp4
我不是黄蓉,https://vd2.bdstatic.com/mda-jcqk5p9hmwb4ca0z/mda-jcqk5p9hmwb4ca0z.mp4
换到千般恨,https://vd3.bdstatic.com/mda-mmnfuijqavfzfy00/fhd/bd265_cae_delogo/1644270040947284980/mda-mmnfuijqavfzfy00.mp4
点燃一根烟FHD,
https://vd2.bdstatic.com:443/mda-mdapwdafpsiy63zu/1080p/h264_cae/1620614712517070219/mda-mdapwdafpsiy63zu.mp4
​换到千般恨https://vd3.bdstatic.com/mda-mmnfuijqavfzfy00/fhd/bd265_cae_delogo/1644270040947284980/mda-mmnfuijqavfzfy00.mp4
蔡琴-绿岛小夜曲[854*480],http://em.21dtv.com/songs/60028153.mkv
邓丽君-漫步人生路[720*540],http://em.21dtv.com/songs/60028564.mkv
林子祥-每一个晚上[720*540],http://em.21dtv.com/songs/60029088.mkv
刘德华+林子祥-每一个晚上[720*540],http://em.21dtv.com/songs/60029089.mkv
成龙-男儿当自强[720*540],http://em.21dtv.com/songs/60030886.mkv
林子祥-男儿当自强[720*540],http://em.21dtv.com/songs/60030887.mkv
韩国热舞高清,https://vdse.bdstatic.com//4f6003f3dd87b0c0f3d945daa2662e2c.mp4?
韩国热舞高清,https://vdse.bdstatic.com//05650f9e8c93cd8456281bcd6903e6d9.mp4?
直播热舞,https://vdse.bdstatic.com//27d899fd4644f835bd68ab3575b1ac1a.mp4?
美女热舞,https://vdse.bdstatic.com//dc0b9e09568e4b8e106040185ee1be5e.mp4?
猛土D士高[658*360],https://vdse.bdstatic.com//fa21dd474c9f3f6dfaee5d21939230c7.mp4
韩国热舞高清,https://vdse.bdstatic.com//362368db35d8385afb0a9e47eaf4c487.mp4?
美女热舞[674*360],https://vdse.bdstatic.com//7a3e97b96042f83b69eb6cdba0612260.mp4?
美女D土高[852*480],https://vdse.bdstatic.com//6832986c349fb249bfa58ff9cfce96fc.mp4
123,https://vdse.bdstatic.com//6d2f84ad5762c818efd8dc210d8743c6.mp4
223[640*362],https://5vgquhe.com:1443/hls/cbf66a7cce859a35c6fb5b82f6871d05/index.m3u8
张学友-amour(演唱会)[640*480],http://em.21dtv.com/songs/60000234.mkv
梁咏琪-amour,http://em.21dtv.com/songs/60000235.mkv
阿杜-andy,http://em.21dtv.com/songs/60000253.mkv
佚名-angel(无原唱),http://em.21dtv.com/songs/60000259.mkv
原始林合唱团-angel(无原唱),http://em.21dtv.com/songs/60000260.mkv
李圣杰-angel(演唱会),http://em.21dtv.com/songs/60000261.mkv
莫文蔚-angel(演唱会)[640*480],http://em.21dtv.com/songs/60000262.mkv
陶喆-angel(演唱会),http://em.21dtv.com/songs/60000263.mkv
LIONEL RICHIE-angel,http://em.21dtv.com/songs/60000264.mkv
SARAH MCLACHLAN-angel,http://em.21dtv.com/songs/60000265.mkv
SHAGGY-angel,http://em.21dtv.com/songs/60000266.mkv
T-RUSH-angel,http://em.21dtv.com/songs/60000267.mkv
陈冠希-angel[640*480],http://em.21dtv.com/songs/60000268.mkv
